"""@relation new_dataset""",
,
"""@attribute text""",
"""@attribute label""",
,
"""@data""",
""" what&#039;s your favorite song? :D I like too many songs to have a favorite""",0
""" <3 </3 ? haha jk! <33""",0
""" &quot;hey angel  you duh sexy&quot; Really?!?! Thanks?! haha""",0
""" (: ;(""",0
""" ******************MEOWWW************************* *RAWR*?""",0
""" any makeup tips? i suck at doing my makeup lol Sure! Like tell me wht u wnna know?! Like wht do you use?!""",0
""" Apriiiiiiiiiiiill!!! I miss uuuu! It&#039;s Emma btw haha EMMA hahahahah :D I MISSSSSeddd YUHHHHh 222222 <33333""",0
""" Are you a morning or night person? Night 4shuree!!""",0
""" are you a trusting person? alreadi answrd""",0
""" are you a trusting person? Yes veryy trustin person!!! May i help yuh:!""",0
""" Are you and @TruAce best friends? Ahaha!!! Yess of course aint dat rite @TruAce ?!?! Haha He so awesome tho! BCK OFF lol jk""",0
""" Are you more of a talker or more of a listener? Listener definitely chuz i get cut off alot so i just listen or ignore pplz!""",0
""" Are yuh single and ready 2 mingle?! Hahaha Yup! Bhut not lookin 4 a man rite atm chuz dey 2much drama!""",0
""" ask me something!!! :)""",0
""" BAHAHAhAHA....took you longer enough;p......GEES GIRL hahah...no its totally okay:) i just wanted to play guess who i am hahaha..i fuckinggg love you too;) <3 HahahahhaahhahD ikrr im a slow american wht more can i say lmfaoo!! hahaha <333 Aww! hahaha""",0
""" bahahahahhaha ;p lmaoo!!!!""",0
""" can you please sing a cover of any justin bieber song? :D Hahaha... I dont sing!! LOL! so srry! Im horrible. btw I dedicate &quot;SMILE&quot; 2 yuh! Its playing!!""",0
""" Cats or Dogs? Dogs! Im allergic 2 cats=""",0
""" Chocolate or Vanilla? Chocolate! Bahah!""",0
""" definitely true! :D i&#039;ve been learnin it for 5 years cuz i&#039;ve frensh origins haha ;) Ahhh!!;) wow 5yrs! man  its a gorgeous language! I love it!! this is my first year learnin it! haha NEWBIE!""",0
""" Did u watch bieber on oprah? Well sortaa! I just got 2 wtch thee Charice part! Shes awesome <3 hbu?!""",0
""" Do you believe in life after death? Yes of course i do... Its called Eternity with God in heaven!<3""",0
""" Do you believe in luck? Yes  bhut I think luck is blessing from God actually! in my opinioN!""",0
""" Do you believe there&#039;s intelligent life on other planets? If God created them then hellz yes!""",0
""" Do you consider yourself a good dancer? Hahaha Bitch i bring it lmao! Kinda i think lmao! I hve some black in me so yes haha""",0
""" do you have a bf?? Nope ;/ Bhut Not Having a BF doesnt mean The WORLD ends;] I guess im waiting 4 the 1  ya kno? Hbu mamas?!""",0
""" Do you have any favorite YouTube star? I have 2 actually! Justin Bieber (ofcourse) &amp;&amp; Scipio Mondai!""",0
""" do you have any memories you&#039;d like to forget? Actually i do!!! Just my whole experience with this fake a$$ friend!!</3""",0
""" Do you have any piercings? Yuppers! Nose and Cartilage piercings(;""",0
""" Do you have any scars on your body?  If so  how&#039;d you get them? Hahaha. Strange!:S""",0
""" do you like atlanta  GA ? yes i love ATL!! great place 2 live  wish i lived there! ;D""",0
""" do you think that a size 10 is fat? i&#039;m trying to be a size 5 by the end of the year. Omg NO WAY!!! 10 is actually small!!! Don t change thee way you look 4 ANYONE!!! bhut yourslf. Kay?!""",0
""" do you think you&#039;re a good friend? Fuck yes i think i am! haha""",0
""" do you watch american idol? if so  who are you voting for this season? Awww man you just reminded me! I wtch it sometimes bhut i love Big Mike! Pplz are really wrong bout letting Katie go!! Argh . .""",0
""" Do yuh have any stalkers? Hell yes! Lots of them and thats including yuh!<3""",0
""" don&#039;t listen to the haters  you are pretty! :D thank you gurl/boy ? I really appreciate it!<33""",0
""" Favorite store? ATM Rue 21;D Or Forever21 <3""",0
""" Fuck Justin bieber. He&#039;s a fucking fag UM excuse yuh? HE IS NOT!! Ur a fuckin idiot! Kay? good""",1
""" growl;] Meowl?;D If thts a word haha<3""",0
