post,ques,ans,ans1,severity1,bully1,ans2,severity2,bully2,ans3,severity3,bully3,fin
Q: what&#039;s your favorite song? :D<br>A: I like too many songs to have a favorite,what&#039;s your favorite song? :D<br>, I like too many songs to have a favorite,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: <3<br>A: </3 ? haha jk! <33,<3, </3 ? haha jk! <33,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: &quot;hey angel  you duh sexy&quot;<br>A: Really?!?! Thanks?! haha,&quot;hey angel  you duh sexy&quot;, Really?!?! Thanks?! haha,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: (:<br>A: ;(,(:, ;(,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: ******************MEOWWW*************************<br>A: *RAWR*?,******************MEOWWW*************************, *RAWR*?,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: any makeup tips? i suck at doing my makeup lol<br>A: Sure! Like tell me wht u wnna know?! Like wht do you use?!,any makeup tips? i suck at doing my makeup lol, Sure! Like tell me wht u wnna know?! Like wht do you use?!,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: Apriiiiiiiiiiiill!!! I miss uuuu! It&#039;s Emma btw haha<br>A: EMMA hahahahah :D I MISSSSSeddd YUHHHHh 222222 <33333,Apriiiiiiiiiiiill!!! I miss uuuu! It&#039;s Emma btw haha, EMMA hahahahah :D I MISSSSSeddd YUHHHHh 222222 <33333,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: Are you a morning or night person?<br>A: Night 4shuree!!,Are you a morning or night person?, Night 4shuree!!,No,0,n/a,No,0,n/a,No,None,n/a,No
Q: are you a trusting person?<br>A: alreadi answrd,are you a trusting person?, alreadi answrd,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: are you a trusting person?<br>A: Yes veryy trustin person!!! May i help yuh:!,are you a trusting person?, Yes veryy trustin person!!! May i help yuh:!,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: Are you and @TruAce best friends?<br>A: Ahaha!!! Yess of course aint dat rite @TruAce ?!?! Haha He so awesome tho! BCK OFF lol jk,Are you and @TruAce best friends?, Ahaha!!! Yess of course aint dat rite @TruAce ?!?! Haha He so awesome tho! BCK OFF lol jk,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: Are you more of a talker or more of a listener?<br>A: Listener definitely chuz i get cut off alot so i just listen or ignore pplz!,Are you more of a talker or more of a listener?, Listener definitely chuz i get cut off alot so i just listen or ignore pplz!,No,None,N/A,No,0,n/a,No,0,n/a,No
Q: Are yuh single and ready 2 mingle?!<br>A: Hahaha Yup! Bhut not lookin 4 a man rite atm chuz dey 2much drama!,Are yuh single and ready 2 mingle?!, Hahaha Yup! Bhut not lookin 4 a man rite atm chuz dey 2much drama!,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: ask me something!!!<br>A: :),ask me something!!!, :),No,0,n/a,No,0,n/a,No,0,n/a,No
Q: BAHAHAhAHA....took you longer enough;p......GEES GIRL hahah...no its totally okay:) i just wanted to play guess who i am hahaha..i fuckinggg love you too;) <3<br>A: Hahahahhaahhaha:D ikrr im a slow american wht more can i say lmfaoo!! hahaha <333 Aww! hahaha,BAHAHAhAHA....took you longer enough;p......GEES GIRL hahah...no its totally okay:) i just wanted to play guess who i am hahaha..i fuckinggg love you too;) <3, Hahahahhaahhaha:D ikrr im a slow american wht more can i say lmfaoo!! hahaha <333 Aww! hahaha,No,0,None,No,0,n/a,No,0,n/a,No
Q: bahahahahhaha ;p<br>A: lmaoo!!!!,bahahahahhaha ;p, lmaoo!!!!,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: Bitch u thee bomb like Tick TICK!<br>A: Hahah(: Thanks!,Bitch u thee bomb like Tick TICK!, Hahah(: Thanks!,No,0,n/a,No,0,n/a,Yes,9,Bitch u thee bomb like Tick TICK,invalid
Q: can you please sing a cover of any justin bieber song? :D<br>A: Hahaha... I dont sing!! LOL! so srry! Im horrible. btw I dedicate &quot;SMILE&quot; 2 yuh! Its playing!!,can you please sing a cover of any justin bieber song? :D, Hahaha... I dont sing!! LOL! so srry! Im horrible. btw I dedicate &quot;SMILE&quot; 2 yuh! Its playing!!,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: Cats or Dogs?<br>A: Dogs! Im allergic 2 cats=,Cats or Dogs?, Dogs! Im allergic 2 cats=,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: Chocolate or Vanilla?<br>A: Chocolate! Bahah!,Chocolate or Vanilla?, Chocolate! Bahah!,No,None,N/A,No,0,n/a,No,0,n/a,No
Q: definitely true! :D i&#039;ve been learnin it for 5 years cuz i&#039;ve frensh origins haha ;)<br>A: Ahhh!!;) wow 5yrs! man  its a gorgeous language! I love it!! this is my first year learnin it! haha NEWBIE!,definitely true! :D i&#039;ve been learnin it for 5 years cuz i&#039;ve frensh origins haha ;), Ahhh!!;) wow 5yrs! man  its a gorgeous language! I love it!! this is my first year learnin it! haha NEWBIE!,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: Did u watch bieber on oprah?<br>A: Well sortaa! I just got 2 wtch thee Charice part! Shes awesome <3 hbu?!,Did u watch bieber on oprah?, Well sortaa! I just got 2 wtch thee Charice part! Shes awesome <3 hbu?!,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: Do you believe in life after death?<br>A: Yes of course i do... Its called Eternity with God in heaven!<3,Do you believe in life after death?, Yes of course i do... Its called Eternity with God in heaven!<3,No,0,n/a,No,None,n/a,No,0,n/a,No
Q: Do you believe in luck?<br>A: Yes  bhut I think luck is blessing from God actually! in my opinioN!,Do you believe in luck?, Yes  bhut I think luck is blessing from God actually! in my opinioN!,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: Do you believe there&#039;s intelligent life on other planets?<br>A: If God created them then hellz yes!,Do you believe there&#039;s intelligent life on other planets?, If God created them then hellz yes!,No,0,n/a,No,None,n/a,No,0,n/a,No
Q: Do you consider yourself a good dancer?<br>A: Hahaha Bitch i bring it lmao! Kinda i think lmao! I hve some black in me so yes haha,Do you consider yourself a good dancer?, Hahaha Bitch i bring it lmao! Kinda i think lmao! I hve some black in me so yes haha,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: do you have a bf??<br>A: Nope ;/ Bhut Not Having a BF doesnt mean The WORLD ends;] I guess im waiting 4 the 1  ya kno? Hbu mamas?!,do you have a bf??, Nope ;/ Bhut Not Having a BF doesnt mean The WORLD ends;] I guess im waiting 4 the 1  ya kno? Hbu mamas?!,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: Do you have any favorite YouTube star?<br>A: I have 2 actually! Justin Bieber (ofcourse) &amp;&amp; Scipio Mondai!,Do you have any favorite YouTube star?, I have 2 actually! Justin Bieber (ofcourse) &amp;&amp; Scipio Mondai!,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: do you have any memories you&#039;d like to forget?<br>A: Actually i do!!! Just my whole experience with this fake a$$ friend!!</3,do you have any memories you&#039;d like to forget?, Actually i do!!! Just my whole experience with this fake a$$ friend!!</3,No,1,fake a$$ friend!!</3,No,0,n/a,No,3,fake a$$ friend,No
Q: Do you have any piercings?<br>A: Yuppers! Nose and Cartilage piercings(;,Do you have any piercings?, Yuppers! Nose and Cartilage piercings(;,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: Do you have any scars on your body?  If so  how&#039;d you get them?<br>A: Hahaha. Strange!:S,Do you have any scars on your body?  If so  how&#039;d you get them?, Hahaha. Strange!:S,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: do you like atlanta  GA ?<br>A: yes i love ATL!! great place 2 live  wish i lived there! ;D,do you like atlanta  GA ?, yes i love ATL!! great place 2 live  wish i lived there! ;D,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: do you think that a size 10 is fat? i&#039;m trying to be a size 5 by the end of the year.<br>A: Omg NO WAY!!! 10 is actually small!!! Don't change thee way you look 4 ANYONE!!! bhut yourslf. Kay?!,do you think that a size 10 is fat? i&#039;m trying to be a size 5 by the end of the year., Omg NO WAY!!! 10 is actually small!!! Don't change thee way you look 4 ANYONE!!! bhut yourslf. Kay?!,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: do you think you&#039;re a good friend?<br>A: Fuck yes i think i am! haha,do you think you&#039;re a good friend?, Fuck yes i think i am! haha,No,0,n/a,No,0,n/a,No,None,N/A,No
